관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11350-00059,온  곡,어린이공원,서울특별시 노원구 동일로 1456,동일로 1456,37.66067691,127.0614956,1500.1,,,"미끄럼대, 화장실",,,,,,2021-09-13
11350-00060,한아름,어린이공원,서울 노원구 상계로1길 38,상계 692-3,37.657597,127.061419,1500.2,,,"조합놀이대, 음수대, 파고라",,,,,,2021-09-13
11350-00061,채송화,어린이공원,서울특별시 노원구 동일로 215길 48,상계 737-1,37.65081661,127.0561522,1500,,,"조합놀이대, 의자, 화장실",,,,,,2021-09-13
11350-00062,기  린,어린이공원,서울특별시 노원구 동일로 215길 48,상계 737-3,37.65081661,127.0561522,1500.1,,,"파고라, 조합놀이대, 의자, 화장실",,,,,,2021-09-13
11350-00063,엄  지,어린이공원,서울 노원구 동일로216길 47,상계 720-4,37.663904,127.070802,1500.1,,,"파고라, 조합놀이대, 음수대",,,,,,2021-09-13
11350-00064,소  망,어린이공원,서울 노원구 노해로 508,상계 720-1,37.657044,127.063773,1500,,,"스페이스네트, 조합놀이대",,,,,,2021-09-13
11350-00065,까  치,어린이공원,서울 노원구 동일로213길 52,상계 741-1,37.649189,,1500.2,,,"조합놀이대, 의자",,,,,,2021-09-13
11350-00066,감나무,어린이공원,서울특별시 노원구 동일로 213길 52,상계 742-2,37.64826016,127.0582136,1500.3,,,"파고라, 조합놀이대, 음수대, 화장실",,,,,,2021-09-13
11350-00067,신기루,어린이공원,서울특별시 노원구 동일로 214길 2-2,동일로214길 2,37.64894575,127.0623792,1500.1,,,"미끄럼대, 그네",,,,,,2021-09-13
11350-00068,물보라,어린이공원,서울 노원구 동일로216길 92,상계 756,37.651419,127.066706,1500.1,,,"미끄럼대, 그네",,,,,,2021-09-13
11350-00069,선  녀,어린이공원,"서울특별시 노원구 덕릉로 459-21(상계동, 상계주공1단지아파트)",상계 767-2,37.64630799,127.0589575,1500.2,,,"파고라, 조합놀이대, 의자",,,,,,2021-09-13
11350-00070,사  랑,어린이공원,서울특별시 노원구 동일로 213길 21,상계 765-1,37.64771001,127.0600193,2540.3,,,"파고라, 조합놀이대, 의자, 음수대",,,,,,2021-09-13
11350-00071,들국화,어린이공원,서울특별시 노원구 동일로207길 50(중계동),중계 501,37.64282684,127.0612846,3413.6,,,"조합놀이대, 그네, 의자, 화장실",,,,,,2021-09-13
11350-00072,백  합,어린이공원,서울 노원구 노원로 331,중계 514-4,,127.063877,4924.2,,,"파고라, 조합놀이대, 의자, 화장실",,,,,,2021-09-13
11350-00073,해바라기,어린이공원,서울 노원구 공릉로59가길 28,하계 277,37.635775,127.071745,4504,,,"조합놀이대, 화장실, 파고라, 운동장",,,,,,2021-09-13
11350-00074,하  계,어린이공원,서울 노원구 공릉로55길 88,하계 273-3,37.632545,127.068884,6128.9,,,"조합놀이대, 그네, 시소, 화장실",,,,,,2021-09-13
11350-00075,중  현,어린이공원,서울 노원구 섬밭로 181,하계 272-1,37.632125,127.065536,7123.5,,,"파고라, 조합놀이대, 화장실",,,,,,2021-09-13
11350-00076,중  평,어린이공원,서울 노원구 섬밭로 241,하계 271-1,37.637209,127.063565,5840.5,,,"파고라, 조합놀이대, 화장실",,,,,,2021-09-13
11350-00077,꿈나라,어린이공원,서울 노원구 덕릉로76길 29,중계 358-1,37.645726,127.063897,1623,,,"파고라, 조합놀이대, 의자",,,,,,2021-09-13
11350-00078,새  싹,어린이공원,서울 노원구 중계로 230,중계 359-2,37.653291,127.076551,1516.9,,,"파고라, 조합놀이대, 의자",,,,,,2021-09-13
11350-00079,천  보,어린이공원,서울특별시 노원구 중계로184,중계로 184,37.65110792,127.0795991,1504.1,,,"파고라, 조합놀이대, 의자",,,,,,2021-09-13
11350-00080,다람쥐,어린이공원,서울특별시 노원구 중계로19길 48(중계동),중계 360-3,37.64906203,127.0759522,1500.1,,,"파고라, 조합놀이대, 의자, 그네",,,,,,2021-09-13
11350-00081,광  석,어린이공원,서울 노원구 중계로 155,중계 364-11,37.649149,,1603.1,,,"파고라, 조합놀이대, 의자",,,,,,2021-09-13
11350-00082,꿈동산,어린이공원,서울특별시 노원구 노원로 22길 34,노원로22길 34,37.64636938,127.0727769,1491.6,,,"파고라, 조합놀이대, 의자",,,,,,2021-09-13
11350-00083,뻐꾸기,어린이공원,서울 노원구 노원로16길 15,하계 256-3,37.642702,127.074639,1540.2,,,"조합놀이대, 의자",,,,,,2021-09-13
11350-00084,앵무새,어린이공원,"서울특별시 노원구 한글비석로 91(하계동, 하계1차청구아파트)",하계 251-13,37.63982606,127.0711674,1614.1,,,"조합놀이대, 파고라",,,,,,2021-09-13
11350-00085,이  화,어린이공원,서울 노원구 한글비석로8길 42,중계 363-8,37.645653,127.063918,1550.7,,,"파고라, 조합놀이대, 의자",,,,,,2021-09-13
11350-00086,곰돌이,어린이공원,"서울특별시 노원구 한글비석로 151(하계동, 한신동성아파트)",하계1동256-6,37.64133774,127.0756469,1477.8,,,"조합놀이대, 의자",,,,,,2021-09-13
11350-00087,갓바위,어린이공원,서울 노원구 한글비석로14길 8,중계 369-6,37.659422,127.078291,1538.1,,,"파고라, 조합놀이대, 의자",,,,,,2021-09-13
11350-00088,국  화,어린이공원,서울 노원구 공릉로58길 148,하계 252-11,37.637236,127.076206,1495.6,,,"조합놀이대, 의자, 화장실",,,,,,2021-09-13
11350-00089,매  봉,어린이공원,서울특별시 노원구 월계로 55길 49,월계로55길 49,37.63323384,127.059006,1587,,,"파고라, 조합놀이대, 의자",,,,,,2021-09-13
11350-00090,나팔꽃,어린이공원,서울특별시 노원구 월계로 372,월계로 372,37.62924721,127.0596641,3115.3,,,"파고라, 조합놀이대, 의자",,,,,,2021-09-13
11350-00091,연  촌,어린이공원,서울 노원구 마들로3길 19,월계 322-4,37.628506,127.062649,1509.7,,,"파고라, 조합놀이대, 의자, 음수대",,,,,,2021-09-13
11350-00092,비둘기,어린이공원,서울 노원구 섬밭로 144,공릉 708-1,37.630056,127.069333,3382.6,,,"파고라, 조합놀이대",,,,,,2021-09-13
11350-00093,각  심,어린이공원,서울 노원구 초안산로1길 18,월계2동 555,37.629492,127.051492,4664.4,,,"파고라, 조합놀이대, 의자, 물놀이시설",,,,,,2021-09-13
11350-00094,햇 살,어린이공원,서울 노원구 월계로45길 28,월계 563,37.627294,,2040.7,,,"파고라, 조합놀이대, 의자, 그네",,,,,,2021-09-13
11350-00095,연  지,어린이공원,서울 노원구 월계로 325,월계 564,37.628223,127.053326,3847.1,,,"파고라, 조합놀이대, 의자, 화장실",,,,,,2021-09-13
11350-00096,효  성,어린이공원,화랑로 556,화랑로 556,37.621233,127.088325,1500,,,"파고라, 조합놀이대",,,,,,2021-09-13
11350-00097,초  안,어린이공원,초안산로5길 22,월계 775-1,37.633968,127.051593,1479.1,,,"파고라, 조합놀이대, 음수대",,,,,,2021-09-13
11350-00098,안  골,어린이공원,월계로45가길 94,월계 781-1,37.630951,127.051435,1473.9,,,"파고라, 조합놀이대",,,,,,2021-09-13
11350-00099,새마을,어린이공원,동일로245길 56,상계 1257-1,37.679354,127.052508,1307.8,,,"파고라, 조합놀이대",,,,,,2021-09-13
11350-00100,샘  터,어린이공원,동일로245길 162,상계 1255-1,37.681559,,1500,,,"파고라, 조합놀이대",,,,,,2021-09-13
11350-00101,늘푸른,어린이공원,동일로250길 18,상계 1265-1,37.680681,127.056433,1502,,,"파고라, 조합놀이대",,,,,,2021-09-13
11350-00102,샛  별,어린이공원,동일로250길 17,동일로250길 1,37.682985,,1500,,,"파고라, 조합놀이대",,,,,,2021-09-13
