,id,lat,lng,households,buildDate,score,m2,p,min_sales,max_sales,avg_sales,구,distance_park,distance_subway,distance_mart,cctv,crime,distance_hospital,distance_library,distance_school
903,70141,37.56845908,127.0793755,55,200211,4.0,95,29,31700.0,37900.0,35500.0,광진구,0.0801066389438759,0.5149491103590149,3.383937094575741,2588,3601,3.0565663782845904,0.07745825012316421,0.2983087431123881
904,6162,37.57002279,127.0744962,2182,200310,3.9,75,23,39100.0,59200.0,52000.0,동대문구,0.22164788741729238,1.2943967662045657,2.5940998481382254,2497,3401,2.662707232512566,0.17750873603238018,0.44490059867203163
905,58305,37.57074065,127.0700207,34,201705,5.0,64,19,37000.0,37000.0,37000.0,동대문구,0.2354390434567265,1.1407813997591856,2.2089551692852725,2497,3401,2.3054635349380694,0.1532571202880703,0.49728763336617565
906,19101,37.5709561,127.067023,30,200405,3.0,69,21,25000.0,28700.0,27500.0,동대문구,0.3480135207976912,1.081009493991264,1.970777793689714,2497,3401,2.09632836758347,0.3542012801727674,0.2703086102130626
907,4583,37.535793,127.052555,202,200009,3.7,78,24,33200.0,44700.0,40500.0,성동구,0.5658636787968441,1.0511626246649985,3.1348063112074667,3602,2362,3.2466069306058567,0.06172837007834001,0.7090851698816134
908,14252,37.57065806,127.0729392,31,200502,2.0,98,30,36200.0,40000.0,38500.0,동대문구,0.08004953753835024,1.2628298252775378,2.4397635048358923,2497,3401,2.510639344867617,0.06927528574982415,0.38041657140573837
909,74480,37.5688656,127.056429,79,202101,0.0,70,21,56500.0,56500.0,56500.0,동대문구,0.5142685925580087,1.0963093227567164,1.4899719776549158,2497,3401,1.8058226176073722,0.16301436834407051,0.08857425863651225
910,50401,37.5711105,127.068789,54,201807,0.0,57,17,21200.0,36000.0,31000.0,동대문구,0.3357583217048132,1.138493027722284,2.0943804906234256,2497,3401,2.196977891386028,0.21120612729567814,0.42130989151680553
911,68950,37.5710543,127.0702098,46,201508,0.0,50,15,23500.0,35500.0,28000.0,동대문구,0.21182004159605203,1.1794319557674071,2.206455523524613,2497,3401,2.2954148868819138,0.11505849565290459,0.46062806202457335
912,6056,37.57091928,127.0637162,228,200301,3.8,81,25,34400.0,48100.0,43500.0,동대문구,0.2671084693505204,1.0583063177459346,1.7360312766785775,2497,3401,1.905952846194649,0.2583886376673153,0.07053424944646867
913,17003,37.57119339,127.0697295,36,200501,5.0,75,23,32000.0,37500.0,37000.0,동대문구,0.25244955867740887,1.1765574930236316,2.1619149934529096,2497,3401,2.253138474984828,0.13440640062259485,0.4812068142566848
914,2967,37.57081177,127.0625796,600,199201,3.8,47,14,18500.0,38800.0,27500.0,동대문구,0.29948296175328293,1.0585061579219797,1.6663698334877266,2497,3401,1.855173347753164,0.16724659029706002,0.14937574383373578
915,11760,37.53130805,127.0696516,83,200612,4.2,113,34,77200.0,77200.0,77000.0,광진구,0.41257467793878044,0.6861009894223501,0.8515163810148543,2588,3601,1.0617643764509686,0.4015647477386011,0.36995471218647913
916,14256,37.5708464,127.073546,40,200506,4.5,63,19,18000.0,30700.0,29500.0,동대문구,0.09955279570024747,1.3113797333941408,2.478322432347695,2497,3401,2.5409008435077416,0.05377965407354663,0.35142835375618947
917,10969,37.57098254,127.0727403,56,200512,4.0,47,14,14000.0,43500.0,40000.0,동대문구,0.04006543978616101,1.2824281589407753,2.40791152677145,2497,3401,2.47487298772898,0.05004592355375904,0.3499872464833037
918,5,37.5363704,127.050762,123,199403,4.1,97,29,30000.0,31500.0,31000.0,성동구,0.6245565288655102,1.0625401116043627,3.01058332248242,3602,2362,3.1168833879991307,0.12537399870723404,0.6266789440626255
919,15536,37.5710449,127.073065,39,200408,5.0,129,39,58600.0,58600.0,58500.0,동대문구,0.05205584516489457,1.3043490340588304,2.4305464741238483,2497,3401,2.4936753299635672,0.025324657425183934,0.3360185714450277
920,6008,37.53114173,127.0705475,214,200310,4.0,77,23,43100.0,61300.0,54500.0,광진구,0.33860052389062023,0.6438590159588665,0.8431675141963931,2588,3601,1.065402966595505,0.36459074838905,0.3902547503727553
921,14251,37.57124957,127.0722017,48,200412,3.3,59,18,26000.0,35600.0,30000.0,동대문구,0.035107041052843374,1.2816682395193773,2.3522013554726846,2497,3401,2.4190948716746377,0.08808972259031332,0.3396485092299876
922,8140,37.57147056,127.0702866,254,200208,3.9,131,40,39700.0,57800.0,47500.0,동대문구,0.20361019665724073,1.2243556825981452,2.19056655190643,2497,3401,2.271095685683556,0.07660874272785811,0.42391469827572026
923,17759,37.57177843,127.0676743,75,200611,5.0,104,31,29600.0,31300.0,30500.0,동대문구,0.38070972094444233,1.1826249065722758,1.972156649221419,2497,3401,2.0743251100676425,0.29090147270530153,0.32229396146552547
924,10866,37.53063283,127.0717734,40,200108,0.0,106,32,66600.0,66600.0,66500.0,광진구,0.2599009228807508,0.6258879849130022,0.8752614526273301,2588,3601,1.1115313091076289,0.36986815237210696,0.3386353015223769
925,80313,37.57174283,127.0729901,54,201910,0.0,63,19,32900.0,36600.0,35500.0,동대문구,0.058594215795651314,1.365108266258453,2.3916257595323964,2497,3401,2.4429754259771537,0.0583525692618559,0.2627167900160472
926,14255,37.57169557,127.073642,33,200506,3.5,61,18,19500.0,42100.0,39500.0,동대문구,0.10163345610526725,1.3927831862704254,2.4462194618507764,2497,3401,2.4931870395603375,0.06335964829051316,0.25662715856431534
927,3937,37.57141117,127.0603931,499,198907,3.6,79,24,25300.0,33000.0,29500.0,동대문구,0.36894654711553154,1.1702604173305815,1.4788177487984642,2497,3401,1.6927074192333649,0.18246491943947202,0.3210468637944359
928,4114,37.53769139,127.0463131,142,200108,3.8,80,24,53200.0,59000.0,55000.0,성동구,0.22479722273763944,1.0589726571830829,2.735990151466579,3602,2362,2.825546112189221,0.5409806226230528,0.3623566415165095
929,4537,37.57118353,127.0796184,91,199804,4.3,81,25,28300.0,46500.0,36000.0,광진구,0.32143672064261364,0.7018846272838296,3.686508472788187,2588,3601,3.355057703067645,0.268265458300809,0.6019246460434616
