학교명,위도,경도,구
서울목운초등학교,37.52700952,126.8730442,양천구
서울우암초등학교,37.47229555,127.0237234,서초구
서울인헌초등학교,37.47675499,126.9598639,관악구
서울공항초등학교,37.56302167,126.8216459,강서구
서울상원초등학교,37.66763033,127.0597173,노원구
서울청구초등학교,37.55911668,127.0137244,중구
서울매헌초등학교,37.47126248,127.0420698,서초구
서울포이초등학교,37.47591562,127.0525106,강남구
서울노원초등학교,37.67359347,127.0584544,노원구
중앙대학교사범대학부속초등학교,37.50545264,126.9596777,동작구
서울동교초등학교,37.55862448,126.9024006,마포구
서울용강초등학교,37.54910215,126.9440443,마포구
서울경일초등학교,37.5409419,127.0466052,성동구
서울등현초등학교,37.56145118,126.8475984,강서구
서울불암초등학교,37.65078442,127.0806018,노원구
서울구일초등학교,37.49319187,126.8734727,구로구
서울군자초등학교,37.56412232,127.0605233,동대문구
서울청덕초등학교,37.61203173,127.0003334,성북구
서울서초초등학교,37.49904877,127.0248915,서초구
서울대길초등학교,37.49811236,126.9131739,영등포구
서울방배초등학교,37.4867641,126.9871924,서초구
서울대치초등학교,37.49127807,127.0621964,강남구
서울신흥초등학교,37.45934816,126.9093508,금천구
서울서이초등학교,37.49156467,127.025618,서초구
서울송원초등학교,37.55415927,127.0695262,성동구
서울중대초등학교,37.4998119,127.1136055,송파구
서울신석초등학교,37.54453582,126.9377793,마포구
서울오현초등학교,37.62341912,127.0465761,강북구
서울유현초등학교,37.63234717,127.011421,강북구
서울신남초등학교,37.51652866,126.8447962,양천구
서울대현초등학교,37.50372159,127.0635654,강남구
서울서래초등학교,37.496404,126.9901565,서초구
서울증산초등학교,37.58256527,126.9042765,은평구
서울숭례초등학교,37.59452119,127.0352972,성북구
서울석계초등학교,37.60881369,127.0697321,성북구
서울용암초등학교,37.5453029,126.9894348,용산구
서울화일초등학교,37.54072601,126.8474076,강서구
서울대은초등학교,37.61236712,126.9258698,은평구
서울개롱초등학교,37.49736261,127.1398882,송파구
