시군구명,시설명,상세주소,경도,위도
동작구,서울영본초등학교,서울특별시 동작구 본동   441-11,126.948617,37.510616
양천구,남명초등학교 운동장,서울특별시 양천구 신정동   653-4,126.853887,37.515394
강북구,수송중학교운동장,서울특별시 강북구 번동   456-1,127.033653,37.636651
강동구,신암중학교,서울특별시 강동구  고덕로 65  (암사동),127.133081,37.555645
강서구,화일초등학교 교사동,서울특별시 강서구  까치산로10길 70  (화곡동),126.847534,37.540593
동대문구,경희고등학교,서울특별시 동대문구  경희대로 26  (회기동),127.05484,37.594938
도봉구,누원고등학교,서울특별시 도봉구  마들로 849  (도봉동),127.050468,37.685288
동작구,동작중학교,서울특별시 동작구  동작대로39가길 83  (동작동),126.9751,37.4954
노원구,서울수락초등학교 운동장,서울특별시 노원구 상계동   1171-2,127.054631,37.684172
중랑구,신내초등학교운동장,서울특별시 중랑구 신내동   444-0,127.099993,37.604131
동작구,노들나루공원,서울특별시 동작구 본동   258-1,126.953705,37.515104
양천구,신기초등학교 운동장,서울특별시 양천구 신정동   1274-0,126.845014,37.510056
마포구,숭문중고등학교,서울특별시 마포구 대흥동   28-14,126.945508,37.551656
강동구,동신중학교 운동장,서울특별시 강동구 천호동   447-9,127.134121,37.536598
강서구,더부리공원,서울특별시 강서구 화곡동   339-19,126.846757,37.534834
서초구,경원중학교,서울특별시 서초구 잠원동   66-1,127.009314,37.51105
은평구,참다래공원,서울특별시 은평구 응암동   120-22,126.917329,37.595358
성동구,소월아트홀 광장,서울특별시 성동구 행당동   142-16,127.035838,37.559398
강남구,삼성까치공원,서울특별시 강남구 삼성동   85-0,127.06071,37.51824
송파구,문현고등학교 운동장,서울특별시 송파구 장지동   838,127.129035,37.48113
강북구,번남어린이공원,서울특별시 강북구 번동   447-1,127.02491,37.635814
성동구,향림공원,서울특별시 성동구 성수동2가   289-28,127.053453,37.546694
동작구,보라매공원,서울특별시 동작구 신대방동   395-0,126.919917,37.491827
강북구,샛강어린이공원,서울특별시 강북구 번동   472-39,127.032995,37.639345
노원구,노일초등학교 운동장,서울특별시 노원구 상계동   1044-2,127.054547,37.673593
성동구,무학여자고등학교 운동장,서울특별시 성동구 행당동   322-1,127.032676,37.55721
성동구,성수공원,서울특별시 성동구 성수동2가   302-25,127.052505,37.544711
양천구,신은초등학교 운동장,서울특별시 양천구 신정동   1319-0,126.829922,37.51337
중랑구,중화초등학교운동장,서울특별시 중랑구 신내동   531,127.094646,37.603004
동작구,서울동작초등학교,서울특별시 동작구  동작대로29길 214  (사당동),126.9748,37.4939
송파구,서울문현초등학교 운동장,서울특별시 송파구 장지동   836,127.130223,37.482657
강동구,성내초등학교 운동장,서울특별시 강동구 성내동   300-3,127.122465,37.531276
동작구,상현중학교,서울특별시 동작구 상도동   111-52,126.9611,37.4941
관악구,원당초등학교 운동장,서울특별시 관악구 봉천동   1669-1,126.956174,37.481098
강동구,선사고등학교,서울특별시 강동구  고덕로25길 17  (암사동),127.1358,37.55616
도봉구,도봉중학교,서울특별시 도봉구  마들로 671  (도봉동),127.045671,37.670556
