,id,lat,lng,households,buildDate,score,m2,p,min_sales,max_sales,avg_sales,구,distance_park,distance_subway,distance_mart,distance_hospital,distance_library,distance_school,distance_eq_shelter,distance_fire_station,crime,cctv
2878,57981,37.48297122,126.9094957,40,199307,0.0,70,21,45600.0,49280.0,48000.0,관악구,325.58410138662776,1787.965694824953,2945.3830313899193,2052.27640338256,45.2400818534551,134.37985055650105,132.42203659091928,3912.974753445302,5261,4942
2879,8981,37.48418066,126.9075348,119,200306,4.0,86,26,46720.0,90240.0,59200.0,관악구,475.25409665144093,1955.655243931157,3106.676066287185,2219.852962937529,181.31288080214787,180.54786168279438,174.9128534170405,4115.579880317865,5261,4942
2880,6110,37.48341543,126.9106971,304,200304,4.2,103,31,84160.0,88320.0,86400.0,관악구,242.20737853745385,1678.9641395051544,2834.9299329545725,1943.3827601877895,99.625907082146,129.94287023325853,133.16887448719152,3823.9054344807805,5261,4942
2881,4306,37.4844975,126.908897,112,199612,4.5,86,26,42080.0,76800.0,55200.0,관악구,440.2423416455974,1835.7310820693858,2984.754382207824,2099.6942136503467,206.20609753873106,70.04267287283703,66.21536517427987,4010.3660334667125,5261,4942
2882,20943,37.48475167,126.9095603,36,201004,5.0,82,25,47200.0,80320.0,73600.0,관악구,409.7447857750974,1777.9423962049493,2925.016980601629,2041.6370097990512,235.54803484209089,63.834246339069644,65.67955143790583,3962.908857393394,5261,4942
2883,9076,37.48471634,126.9104965,91,200401,4.3,71,21,51200.0,63360.0,60000.0,관악구,347.7571955122285,1695.2517622645105,2842.6482890286147,1958.9631341733307,237.19747206547123,100.55282337108818,106.155503190323,3883.056284636895,5261,4942
2884,1177,37.50696557,126.8949119,481,199810,4.2,80,24,69600.0,83840.0,75200.0,영등포구,529.5477639374792,1621.9952749775678,1010.467175108724,1421.9134494346379,227.002530166624,670.8367432468331,235.2889443740075,1518.762158105623,5217,3778
2885,4105,37.50607683,126.8886294,1252,200012,4.4,81,25,70400.0,134240.0,90400.0,구로구,262.042345601461,369.35474789075425,407.57792136853027,1550.2976847031653,151.74949855816658,120.77908220090053,125.043304433604,2263.5923035353535,4175,4075
2886,18839,37.5080821,126.888334,524,201107,4.6,83,25,96320.0,314080.0,140800.0,구로구,52.46359870283691,249.5328450021853,186.34422548425616,1764.4616018615623,116.98182124551053,332.0591093687859,337.1529218221309,2340.265634949156,4175,4075
2887,1144,37.50916801,126.8953431,200,199711,4.3,58,18,24800.0,70560.0,48000.0,영등포구,605.0565831578243,1424.375155764328,769.3948833626091,1313.6439590816083,115.70142056712872,490.7488015982922,347.23944321689817,1295.5204063024055,5217,3778
