id,lat,lng,households,buildDate,score,m2,p,min_sales,max_sales,avg_sales
2809,37.6639118,127.057042,2654,198809,4,52,16,24640,45760,33600
3698,37.66344618,127.0773956,634,200003,3.8,84,25,42240,66560,56000
10454,37.66311744,127.078574,602,200106,4.1,70,21,32320,41280,36000
2768,37.66168656,127.0731642,1590,198905,3.5,52,16,19040,51680,32800
6118,37.66214571,127.0765466,299,200212,4.2,82,25,52800,99840,73600
2941,37.66125635,127.0752899,167,199507,4.2,79,24,32800,65280,58400
13922,37.66143963,127.0761106,120,199807,4.3,79,24,35360,71680,48000
6013,37.66694346,127.0473363,603,200210,4.5,122,37,76160,85280,80800
5692,37.6650763,127.0481467,1278,200110,4.5,80,24,56320,127680,76800
2089,37.70239115,127.0482796,146,199901,3.9,78,24,30880,48800,36800
7531,37.70300739,127.048339,281,199811,4.4,79,24,28640,61760,36800
7530,37.70403781,127.0490428,700,200311,4.2,98,30,37600,73280,58400
81826,37.7042123,127.04757,176,201701,0,23,7,13120,21120,13280
69197,37.6625134,127.04596,33,200801,0,73,22,31200,40800,36800
17235,37.63799288,127.0242549,42,200511,3.7,111,34,17600,17600,17600
17018,37.63778389,127.0240419,34,200508,4,107,32,69600,69600,69600
24572,37.63839332,127.022193,38,201301,0,76,23,36000,72640,50400
9151,37.63867342,127.0270378,121,200504,4.2,52,16,28000,104800,60000
460,37.64237983,127.0189899,1454,199311,3.6,84,25,39360,64480,53600
5864,37.63345491,127.0270132,123,200507,3,76,23,44800,47360,46400
7116,37.64343596,127.0178889,146,199402,3.8,71,21,36320,67360,55200
18705,37.63567038,127.0309114,99,200906,4.5,112,34,78880,78880,79200
7121,37.64110451,127.0158171,96,198312,0,81,25,16000,17600,16800
5576,37.64144003,127.0318837,228,199812,3.7,80,24,47840,48480,48000
6485,37.63782518,127.0322537,99,199705,4,83,25,48320,51200,49600
24755,37.63269817,127.0266368,71,201308,5,42,13,33600,73280,64000
12060,37.64605804,127.026347,104,198112,3.5,72,22,21440,32000,24000
79846,37.6435548,127.031165,44,201907,0,56,17,44000,44000,44000
4211,37.64470812,127.0180614,690,200111,4,82,25,60160,90400,70400
18704,37.63583947,127.0320172,193,200906,4.2,112,34,81440,82080,81600
13989,37.64261457,127.0157177,66,198904,0,54,16,18400,23200,20800
7117,37.63169695,127.0234508,79,199807,0,99,30,52480,58400,53600
4206,37.64541802,127.0185511,110,200007,4.3,66,20,31360,71520,51200
10250,37.6404375,127.0341493,111,200406,4,79,24,57280,59040,58400
6055,37.64683611,127.0279835,407,200207,4,78,24,52320,76640,61600
9884,37.64143943,127.0340319,300,200208,4.1,75,23,51200,92160,63200
6207,37.64292804,127.033389,958,200307,4.2,105,32,68640,68640,68800
1385,37.63078467,127.0257933,231,199212,4.3,102,31,48480,48480,48800
1332,37.6459236,127.030539,824,198612,3.8,71,21,33280,50560,41600
22069,37.64788572,127.0240723,293,201404,3.9,77,23,52960,94400,68800
26350,37.63373566,127.0148697,30,197510,4,50,15,13600,26560,22400
15207,37.64731875,127.0291984,155,200612,3.9,76,23,48000,107200,58400
4344,37.63784942,127.0356708,183,199705,4.5,85,26,35040,83680,44000
836,37.64854116,127.0263026,103,199712,3.8,83,25,31520,39200,33600
116,37.64205635,127.0124273,574,199203,3.3,90,27,45760,70240,48000
4395,37.64930122,127.02793,87,199510,4.1,80,24,47200,48640,48000
17512,37.64979151,127.0272639,141,200704,4,76,23,59200,84800,73600
6015,37.64572784,127.034963,202,200207,3.9,113,34,47040,88960,77600
